,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
3309,mitochondrial ribosomal protein of the large subunit,translation,intracellular,peptidyltransferase activity,MRPL16,YBL038W
3310,"Putative protein of unknown function; member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins",biological_process unknown,fungal-type vacuole,molecular_function unknown,YHL042W,YHL042W
3311,"Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation",mitotic cell cycle,cellular_component unknown,molecular_function unknown,CAF120,YNL278W
3312,"Component of the HAT/Core module of the SAGA, SLIK, and ADA complexes; HAT/Core module also contains Gcn5p, Ngg1p, and Ada2p; binds methylated histone H3K4; involved in transcriptional regulation through SAGA recruitment to target promoters and H3 acetylation","transcription, DNA-templated",SAGA complex,"transcription factor activity, RNA polymerase II transcription factor recruiting",SGF29,YCL010C
3313,"Putative protein of unknown function, predicted to be palmitoylated; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",biological_process unknown,cytoplasm,molecular_function unknown,ANR2,YKL047W
3314,Chitin transglycosylase that functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress,carbohydrate metabolic process,incipient cellular bud site,"hydrolase activity, hydrolyzing O-glycosyl compounds",CRH1,YGR189C
3315,"Glucosyl transferase, involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p",protein glycosylation,endoplasmic reticulum,transferase activity,ALG8,YOR067C
3316,"Autoregulatory oleate-specific transcriptional activator of peroxisome proliferation, contains Zn(2)-Cys(6) cluster domain, forms heterodimer with Oaf1p, binds oleate response elements (OREs), activates beta-oxidation genes","transcription, DNA-templated",nucleus,RNA polymerase II core promoter proximal region sequence-specific DNA binding,PIP2,YOR363C
3317,"Dipeptidyl aminopeptidase, synthesized as a glycosylated precursor; localizes to the vacuolar membrane; similar to Ste13p",proteolysis,fungal-type vacuole membrane,aminopeptidase activity,DAP2,YHR028C
3318,"Protein that interacts specifically in vivo with phospholipid translocase (flippase) Dnf3p; similar to Cdc50p, which is an essential interaction partner of the flippase Drs2p",response to drug,endoplasmic reticulum,molecular_function unknown,YNR048W,YNR048W
3319,"Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S19 ribosomal protein",ribosomal small subunit assembly,mitochondrion,RNA binding,RSM19,YNR037C
3320,Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains,actin cortical patch assembly,nucleus,actin binding,SLA1,YBL007C
3321,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst3p in silencing at telomeres, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism",chromatin silencing at telomere,"chromosome, telomeric region",DNA binding,HST4,YDR191W
3322,Member of the PAK family of serine/threonine protein kinases with similarity to Ste20p and Cla4p; involved in down-regulation of sterol uptake; proposed to be a downstream effector of Cdc42p during polarized growth,mitotic cell cycle,nucleus,nucleotide binding,SKM1,YOL113W
3323,mitochondrial and cytoplasmic valyl-tRNA synthetase,translation,cytoplasm,nucleotide binding,VAS1,YGR094W
3324,"3-ketosphinganine reductase, catalyzes the second step in phytosphingosine synthesis, essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine, member of short chain dehydrogenase/reductase protein family",lipid metabolic process,cytoplasm,nucleotide binding,TSC10,YBR265W
3325,"Protein of unknown function, expression is regulated by phosphate levels; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and vacuole",transport,fungal-type vacuole,molecular_function unknown,PHM7,YOL084W
3326,Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene,generation of catalytic spliceosome for second transesterification step,nucleus,first spliceosomal transesterification activity,PRP45,YAL032C
3327,"Protein kinase of the bud neck involved in the septin checkpoint, associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p",septin ring assembly,incipient cellular bud site,nucleotide binding,KCC4,YCL024W
3328,mitochondrial ribosomal protein of the large subunit,mitochondrial translation,mitochondrion,structural constituent of ribosome,MRPL17,YNL252C
3329,Peripheral membrane protein required for fusion of COPI vesicles with the ER; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex with Sec39p and Dsl1p that interacts with ER SNAREs Sec20p and Use1p,transport,endoplasmic reticulum,molecular_function unknown,TIP20,YGL145W
3330,"Low-affinity cyclic AMP phosphodiesterase, controls glucose and intracellular acidification-induced cAMP signaling, target of the cAMP-protein kinase A (PKA) pathway; glucose induces transcription and inhibits translation",cAMP catabolic process,cellular_component unknown,"3',5'-cyclic-nucleotide phosphodiesterase activity",PDE1,YGL248W
3331,Partially redundant sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway involved in maintenance of cell wall integrity and recovery from heat shock; secretory pathway Wsc2p is required for the arrest of secretion response,Rho protein signal transduction,fungal-type vacuole,transmembrane signaling receptor activity,WSC2,YNL283C
3332,"Protein of the mitochondrial intermembrane space, required for acetate utilization and gluconeogenesis; has orthologs in higher eukaryotes",gluconeogenesis,mitochondrion,molecular_function unknown,SDH7,YDR511W
3333,"UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p",glycogen biosynthetic process,cytoplasm,UTP,UGP1,YKL035W
3334,"High-affinity leucine permease, functions as a branched-chain amino acid permease involved in the uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains",amino acid transmembrane transport,vacuole,amino acid transmembrane transporter activity,BAP2,YBR068C
3335,Transcriptional repressor that recruits the Cyc8p-Tup1p complex to promoters; mediates glucose repression and negatively regulates a variety of processes including filamentous growth and alkaline pH response,negative regulation of transcription from RNA polymerase II promoter,intracellular,RNA polymerase II core promoter proximal region sequence-specific DNA binding,NRG1,YDR043C
3336,"Non-essential conserved protein of unknown function, plays a role in mRNA decapping by specifically affecting the function of the decapping enzyme Dcp1p; localizes to cytoplasmic mRNA processing bodies",deadenylation-independent decapping of nuclear-transcribed mRNA,P-body,molecular_function unknown,EDC3,YEL015W
3337,Chitin transglycosylase that functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar to and functionally redundant with Crh1; glycosylphosphatidylinositol (GPI)-anchored protein localized to bud neck,carbohydrate metabolic process,cellular bud neck septin ring,"hydrolase activity, hydrolyzing O-glycosyl compounds",UTR2,YEL040W
3338,mitochondrial ribosomal protein of the large subunit,mitochondrial translation,mitochondrion,structural constituent of ribosome,MRPL25,YGR076C
3339,Putative zinc finger protein; YPR013C is not an essential gene,biological_process unknown,cellular_component unknown,nucleic acid binding,CMR3,YPR013C
3340,"Enolase I, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is repressed in response to glucose",gluconeogenesis,phosphopyruvate hydratase complex,magnesium ion binding,ENO1,YGR254W
3341,"Putative transcription factor containing a C2H2 zinc finger; mutation affects transcriptional regulation of genes involved in growth on non-fermentable carbon sources, response to salt stress and cell wall biosynthesis",carbon catabolite activation of transcription from RNA polymerase II promoter,intracellular,nucleic acid binding,USV1,YPL230W
3342,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS,biological_process unknown,kinetochore,molecular_function unknown,CMG1,YLR271W
3343,"Protein involved in ubiquitin ligation; plays a role in regulating spindle position and orientation; functionally redundant with Dma2p; orthologous to human RNF8 protein, also has sequence similarity to human Chfr.",establishment of mitotic spindle orientation,cytoplasm,ubiquitin-protein transferase activity,DMA1,YHR115C
3344,"Putative positive regulator of mannosylphosphate transferase (Mnn6p), involved in mannosylphosphorylation of N-linked oligosaccharides; expression increases in late-logarithmic and stationary growth phases",protein N-linked glycosylation,membrane,molecular_function unknown,MNN4,YKL201C
3345,"Mitochondrial translational activator specific for the COX3 mRNA, acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane",translational initiation,mitochondrion,translation initiation factor activity,PET122,YER153C
3346,"G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)",regulation of cyclin-dependent protein serine/threonine kinase activity,cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein serine/threonine kinase regulator activity,CLN2,YPL256C
3347,"Daughter cell-specific protein, may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall",cell separation after cytokinesis,cellular bud neck,molecular_function unknown,DSE1,YER124C
3348,"Mitochondrial outer membrane protein, involved in the insertion of TOM (translocase of outer membrane) complex components into the membrane and required for assembly of the TOM complex; mutants display impaired mitochondrial protein import",transport,mitochondrion,molecular_function unknown,MIM1,YOL026C
3349,"Mitochondrial translational activator of the COB mRNA; membrane protein that interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader",regulation of translation,mitochondrion,translation regulator activity,CBS1,YDL069C
3350,"Riboflavin kinase, phosphorylates riboflavin to form riboflavin monophosphate (FMN), which is a necessary cofactor for many enzymes; localizes to microsomes and to the mitochondrial inner membrane",riboflavin biosynthetic process,mitochondrion,nucleotide binding,FMN1,YDR236C
3351,Lysophosphatidic acid (LPA) phosphatase involved in LPA hydrolysis in response to phosphate starvation; phosphatase activity is soluble and Mg2+ dependent; expression is induced by low phosphate levels and by inactivation of Pho85p,metabolic process,nucleus,nucleotidase activity,PHM8,YER037W
3352,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps27Ap and has similarity to rat S27 ribosomal protein,ribosomal small subunit assembly,intracellular,structural constituent of ribosome,RPS27B,YHR021C
3353,"Mismatch repair protein, forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability",meiotic mismatch repair,nuclear chromosome,nucleotide binding,MSH3,YCR092C
3354,High affinity Ca2+/Mn2+ P-type ATPase required for Ca2+ and Mn2+ transport into Golgi; involved in Ca2+ dependent protein sorting and processing; mutations in human homolog ATP2C1 cause acantholytic skin condition Hailey-Hailey disease,transport,Golgi membrane,nucleotide binding,PMR1,YGL167C
3355,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo; mutant has increased aneuploidy tolerance",protein folding,cytoplasm,nucleotide binding,CCT7,YJL111W
3356,"Chitin synthase I, requires activation from zymogenic form in order to catalyze the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for repairing the chitin septum during cytokinesis; transcription activated by mating factor",barrier septum site selection,plasma membrane,chitin synthase activity,CHS1,YNL192W
3357,"Plasma membrane associated protein phosphatase involved in the general stress response; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p",protein dephosphorylation,cytosol,phosphoprotein phosphatase activity,PSR1,YLL010C
3358,"Putative protein of unknown function; may play a role in cell wall biosynthesis, mutants have abormal relative levels of mannose and glucose and have Gap1p sorting and transport defects; (GFP)-fusion protein localizes to the cytoplasm",intracellular protein transport,Golgi trans cisterna,molecular_function unknown,ECM30,YLR436C
3359,"Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated",transport,mitochondrion,inorganic phosphate transmembrane transporter activity,MIR1,YJR077C
3360,"2'-O-ribose methyltransferase, catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs",RNA processing,cytoplasm,RNA binding,TRM3,YDL112W
3361,"Subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex",carbon catabolite activation of transcription from RNA polymerase II promoter,nucleus,"transcription factor activity, RNA polymerase II transcription factor binding",HAP4,YKL109W
3362,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and vacuole,mitotic cytokinesis,fungal-type vacuole,molecular_function unknown,YOL019W,YOL019W
3363,Cis-prenyltransferase involved in dolichol synthesis; participates in endoplasmic reticulum (ER) protein sorting,protein glycosylation,endoplasmic reticulum,polyprenyltransferase activity,RER2,YBR002C
3364,"Signal recognition particle (SRP) receptor beta subunit; involved in SRP-dependent protein targeting; anchors the alpha subunit, Srp101p to the ER membrane",SRP-dependent cotranslational protein targeting to membrane,endoplasmic reticulum,nucleotide binding,SRP102,YKL154W
3365,"Aspartic protease, member of the yapsin family of proteases involved in cell wall growth and maintenance; attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor",proteolysis,plasma membrane,aspartic-type endopeptidase activity,YPS3,YLR121C
3366,"1-acyl-sn-glycerol-3-phosphate acyltransferase, catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes",lipid metabolic process,endoplasmic reticulum,1-acylglycerol-3-phosphate O-acyltransferase activity,SLC1,YDL052C
3367,Mannosyltransferase involved in N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family,cell wall mannoprotein biosynthetic process,Golgi membrane,"alpha-1,2-mannosyltransferase activity",KTR2,YKR061W
3368,Putative protein of unknown function; expression induced by heat and by calcium shortage,biological_process unknown,cellular_component unknown,molecular_function unknown,YML002W,YML002W
3369,Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking,response to stress,fungal-type vacuole,structural constituent of cell wall,TIR1,YER011W
3370,"One of two isozymes of HMG-CoA reductase that catalyzes the conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; localizes to the nuclear envelope; overproduction induces the formation of karmellae",lipid metabolic process,nucleus,hydroxymethylglutaryl-CoA reductase (NADPH) activity,HMG1,YML075C
3371,Subunit of the INO80 chromatin remodeling complex,telomere maintenance via recombination,"chromosome, telomeric region",molecular_function unknown,IES3,YLR052W
3372,"Putative protein of unknown function with similarity to DTDP-glucose 4,6-dehydratases; GFP-fusion protein localizes to the cytoplasm; up-regulated in response to the fungicide mancozeb; not essential for viability",biological_process unknown,cytoplasm,nucleotide binding,YMR090W,YMR090W
3373,"Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e.g., Gal4p) which leads to transcription activation; similar to human TRRAP, which is a cofactor for c-Myc mediated oncogenic transformation",DNA repair,histone acetyltransferase complex,histone acetyltransferase activity,TRA1,YHR099W
3374,"Putative dihydrofolate synthetase; has similarity to Fol3p and to E. coli folylpolyglutamate synthetase/dihydrofolate synthetase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",one-carbon metabolic process,mitochondrion,nucleotide binding,RMA1,YKL132C
3375,"Autophagy-related protein and dual specificity member of the E1 family of ubiquitin-activating enzymes; mediates the conjugation of Atg12p with Atg5p and Atg8p with phosphatidylethanolamine, required steps in autophagosome formation",mitophagy,pre-autophagosomal structure,nucleotide binding,ATG7,YHR171W
3376,Oligomeric mitochondrial matrix chaperone that cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates,mitochondrial genome maintenance,mitochondrion,nucleotide binding,HSP78,YDR258C
3377,"Cytosolic copper metallochaperone that transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron uptake",transport,cytoplasm,copper chaperone activity,ATX1,YNL259C
3378,Omega class glutathione transferase; putative cytosolic localization,glutathione metabolic process,cytoplasm,glutathione transferase activity,GTO3,YMR251W
3379,"Monoglyceride lipase (MGL), functional ortholog of mammalian MGL, localizes to lipid particles and membranes, also member of the eukaryotic serine hydrolase family",triglyceride metabolic process,cytoplasm,hydrolase activity,YJU3,YKL094W
3380,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",biological_process unknown,mitochondrion,molecular_function unknown,AIM9,YER080W
3381,"Protein involved in minichromosome maintenance; component of the COMA complex (Ctf19p, Okp1p, Mcm21p, Ame1p) that bridges kinetochore subunits that are in contact with centromeric DNA and the subunits bound to microtubules",cell cycle,"chromosome, centromeric region",molecular_function unknown,MCM21,YDR318W
3382,Putative protein serine/threonine phosphatase; null mutation enhances efficiency of translational suppressors,regulation of translation,cytoplasm,phosphoprotein phosphatase activity,PPQ1,YPL179W
3383,"Alpha-glucoside permease, transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication",maltose metabolic process,plasma membrane,transporter activity,MPH2,YDL247W
3384,Peroxisomal acyl-CoA thioesterase likely to be involved in fatty acid oxidation rather than fatty acid synthesis; conserved protein also found in human peroxisomes; TES1 mRNA levels increase during growth on fatty acids,fatty acid beta-oxidation,mitochondrion,palmitoyl-CoA hydrolase activity,TES1,YJR019C
3385,"Component of the eisosome that is required for proper eisosome assembly; similarity to Ykl050cp and Uso1p; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies",eisosome assembly,cytoplasm,molecular_function unknown,EIS1,YMR031C
3386,"Ethanolamine kinase, primarily responsible for phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway; exhibits some choline kinase activity, thus contributing to phosphatidylcholine synthesis via the CDP-choline pathway",lipid metabolic process,cytoplasm,nucleotide binding,EKI1,YDR147W
3387,"Single-stranded DNA endonuclease (with Rad10p), cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human XPF protein",meiotic mismatch repair,nucleotide-excision repair factor 1 complex,single-stranded DNA endodeoxyribonuclease activity,RAD1,YPL022W
3388,Protein component of the small (40S) ribosomal subunit; identical to Rps16Ap and has similarity to E. coli S9 and rat S16 ribosomal proteins,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",intracellular,structural constituent of ribosome,RPS16B,YDL083C
3389,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog,translation,mitochondrion,nucleotide binding,PET112,YBL080C
3390,Protein containing GATA family zinc finger motifs; similar to Gln3p and Dal80p; expression repressed by leucine,"regulation of transcription, DNA-templated",nucleus,RNA polymerase II regulatory region sequence-specific DNA binding,GAT2,YMR136W
3391,Putative protein of unknown function; sumoylated under stress conditions in a genome wide study; YDR336W is not an essential gene,biological_process unknown,cellular_component unknown,nucleotide binding,MRX8,YDR336W
3392,"Kynurenine aminotransferase, catalyzes formation of kynurenic acid from kynurenine; potential Cdc28p substrate",biosynthetic process,cytoplasm,catalytic activity,BNA3,YJL060W
3393,"Mitochondrial inner membrane carnitine transporter, required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation",fatty acid metabolic process,mitochondrion,carnitine,CRC1,YOR100C
3394,"Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase required for proper cell separation after cytokinesis, expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner",cytokinesis,fungal-type vacuole,cellulase activity,EGT2,YNL327W
3395,Acyl-coenzymeA:ethanol O-acyltransferase responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification,medium-chain fatty acid biosynthetic process,cellular_component unknown,alcohol O-acetyltransferase activity,EEB1,YPL095C
3396,"Cytoplasmic RNA-binding protein, contains an RNA recognition motif (RRM); may have a role in mRNA translation, as suggested by genetic interactions with genes encoding proteins involved in translational initiation",mRNA metabolic process,cytoplasm,nucleotide binding,SGN1,YIR001C
3397,"Lyso-phosphatidylcholine acyltransferase, required for normal phospholipid content of mitochondrial membranes; may remodel acyl groups of cardiolipin in the inner membrane; human ortholog tafazzin is implicated in Barth syndrome",protein complex assembly,mitochondrion,transferase activity,TAZ1,YPR140W
3398,"Protein that interacts with Cdc48p and Npl4p, involved in recognition of polyubiquitinated proteins and their presentation to the 26S proteasome for degradation; involved in transporting proteins from the ER to the cytosol",ubiquitin-dependent protein catabolic process,Doa10p ubiquitin ligase complex,polyubiquitin binding,UFD1,YGR048W
3399,"Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cell cycle-regulated genes; homolog of human PD2/hPAF1; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay",regulation of transcription involved in G1/S transition of mitotic cell cycle,nucleus,"transcription factor activity, RNA polymerase II core promoter sequence-specific",PAF1,YBR279W
3400,"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles",transport,endoplasmic reticulum,molecular_function unknown,MST28,YAR033W
3401,RNA polymerase I subunit A43,"transcription, DNA-templated",nucleus,RNA polymerase I activity,RPA43,YOR340C
3402,"Essential kinetochore protein, component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo",mitotic spindle elongation,"chromosome, centromeric region",DNA binding,CBF2,YGR140W
3403,"Profilin, binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; required for normal timing of actin polymerization in response to thermal stress",actin cytoskeleton organization,cytoplasm,actin binding,PFY1,YOR122C
3404,Putative protein of unknown function; YBR184W is not an essential gene,biological_process unknown,cellular_component unknown,molecular_function unknown,YBR184W,YBR184W
3405,"Endosomal ferric enterobactin transporter, expressed under conditions of iron deprivation; member of the major facilitator superfamily; expression is regulated by Rcs1p and affected by chloroquine treatment",transport,fungal-type vacuole,ferric-enterobactin transmembrane transporter activity,ENB1,YOL158C
3406,"Protein of unknown function, required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus",biological_process unknown,nucleus,molecular_function unknown,APD1,YBR151W
3407,Member of a transmembrane complex required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; human ortholog TMEM85 may function in apoptosis,protein folding in endoplasmic reticulum,endoplasmic reticulum,molecular_function unknown,EMC4,YGL231C
3408,Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation; overproduction suppresses a plc1 null mutation; GFP-fusion protein localizes to the cytoplasm,negative regulation of protein kinase activity,cytoplasm,enzyme inhibitor activity,SPL2,YHR136C
3409,"Probable membrane protein with three predicted transmembrane domains; homologous to Ybr042cp, similar to C. elegans F55A11.5 and maize 1-acyl-glycerol-3-phosphate acyltransferase",lipid metabolic process,nucleus,transferase activity,YDR018C,YDR018C
3410,"Sphinganine C4-hydroxylase, catalyses the conversion of sphinganine to phytosphingosine in sphingolipid biosyntheis",lipid metabolic process,endoplasmic reticulum,sphingosine hydroxylase activity,SUR2,YDR297W
3411,Putative protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation,biological_process unknown,cellular_component unknown,molecular_function unknown,YFL065C,YFL065C
3412,Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; null mutants display a weak carboxypeptidase Y missorting/secretion phenotype,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,cytoplasm,molecular_function unknown,RRT2,YBR246W
3413,ER membrane protein involved in a late step of glycosylphosphatidylinositol (GPI) anchor assembly; involved in the addition of phosphoethanolamine to the multiply mannosylated GPI intermediate; human PIG-Fp is a functional homolog,GPI anchor biosynthetic process,endoplasmic reticulum,oxidoreductase activity,GPI11,YDR302W
3414,Member of the alpha/beta knot fold methyltransferase superfamily; required for maturation of 18S rRNA and for 40S ribosome production; interacts with RNA and with S-adenosylmethionine; associates with spindle/microtubules; forms homodimers,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,RNA binding,EMG1,YLR186W
3415,"Mitochondrial glycerol-3-phosphate dehydrogenase; expression is repressed by both glucose and cAMP and derepressed by non-fermentable carbon sources in a Snf1p, Rsf1p, Hap2/3/4/5 complex dependent manner",replicative cell aging,mitochondrion,glycerol-3-phosphate dehydrogenase activity,GUT2,YIL155C
3416,"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",negative regulation of transcription from RNA polymerase II promoter,nucleus,molecular_function unknown,DEP1,YAL013W
3417,Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; monothiol glutaredoxin subfamily member along with Grx4p and Grx5p; protects cells from oxidative damage,cellular iron ion homeostasis,nucleus,RNA polymerase II activating transcription factor binding,GRX3,YDR098C
3418,Ubiquitin C-terminal hydrolase that cleaves ubiquitin-protein fusions to generate monomeric ubiquitin; hydrolyzes the peptide bond at the C-terminus of ubiquitin; also the major processing enzyme for the ubiquitin-like protein Rub1p,proteolysis,intracellular,thiol-dependent ubiquitin-specific protease activity,YUH1,YJR099W
3419,Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated,protein folding,cytoplasm,nucleotide binding,HSP60,YLR259C
3420,"Trimethyl guanosine synthase, conserved nucleolar methyl transferase that converts the m(7)G cap structure of snRNAs, snoRNAs, and telomerase TLC1 RNA to m(2,2,7)G; also required for nucleolar assembly and splicing of meiotic pre-mRNAs",RNA methylation,nucleus,methyltransferase activity,TGS1,YPL157W
3421,"Negative regulator of transcription elongation, contains a TFIIS-like domain and a PHD finger, multicopy suppressor of temperature-sensitive ess1 mutations, probably binds RNA polymerase II large subunit",negative regulation of transcription from RNA polymerase II promoter,nucleus,chromatin binding,BYE1,YKL005C
3422,"GTPase required for synthesis of 40S ribosomal subunits and for processing the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, which stimulates its GTPase and U3 snoRNA binding activities; has similarity to Tsr1p","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,nucleotide binding,BMS1,YPL217C
3423,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl12Ap; rpl12a rpl12b double mutant exhibits slow growth and slow translation; has similarity to E. coli L11 and rat L12 ribosomal proteins",ribosomal large subunit assembly,cytoplasm,RNA binding,RPL12B,YDR418W
3424,Putative protein of unknown function; expression is increased greatly during sporulation; YEL023C is not an essential gene,biological_process unknown,cellular_component unknown,molecular_function unknown,YEL023C,YEL023C
3425,"Carrier protein that exports citrate from and imports oxoglutarate into the mitochondrion, causing net export of NADPH reducing equivalents; also associates with mt nucleoids and has a role in replication and segregation of the mt genome",mitochondrial genome maintenance,mitochondrion,DNA binding,YHM2,YMR241W
3426,"Transcription factor (bHLH) involved in interorganelle communication between mitochondria, peroxisomes, and nucleus","transcription, DNA-templated",nucleus,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",RTG1,YOL067C
3427,Protein involved in proteolytic activation of Rim101p in response to alkaline pH; PalA/AIP1/Alix family member; interaction with the ESCRT-III subunit Snf7p suggests a relationship between pH response and multivesicular body formation,invasive growth in response to glucose limitation,nucleus,molecular_function unknown,RIM20,YOR275C
